icd9cm;icd9_title;icd10cm;Maptype
V5416;Aftercare for healing traumatic fracture of lower leg;S92322D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92323D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92324D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92325D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92326D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92331D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92332D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92333D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92334D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92335D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92336D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92341D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92342D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92343D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92344D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92345D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92346D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92351D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92352D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92353D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92354D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92355D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92356D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92401D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92402D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92403D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92404D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92405D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92406D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92411D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92412D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92413D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92414D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92415D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92416D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92421D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92422D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92423D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92424D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92425D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92426D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92491D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92492D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92499D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92501D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92502D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92503D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92504D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92505D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92506D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92511D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92512D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92513D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92514D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92515D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92516D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92521D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92522D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92523D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92524D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92525D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92526D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92531D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92532D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92533D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92534D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92535D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92536D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92591D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92592D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92599D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92901D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92902D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92909D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92911D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92912D;general equivalence mapping(medicare)
V5416;Aftercare for healing traumatic fracture of lower leg;S92919D;general equivalence mapping(medicare)
60490;Orchitis and epididymitis, unspecified;N451;general equivalence mapping(medicare)
60490;Orchitis and epididymitis, unspecified;N452;general equivalence mapping(medicare)
60490;Orchitis and epididymitis, unspecified;N453;general equivalence mapping(medicare)
4778;Allergic rhinitis due to other allergen;J302;general equivalence mapping(medicare)
4778;Allergic rhinitis due to other allergen;J3089;general equivalence mapping(medicare)
52540;Complete edentulism, unspecified;K08109;general equivalence mapping(medicare)
52510;Acquired absence of teeth, unspecified;K08109;general equivalence mapping(medicare)
6931;Dermatitis due to food taken internally;L272;general equivalence mapping(medicare)
62135;Endometrial intraepithelial neoplasia [EIN];N8502;general equivalence mapping(medicare)
3158;Other specified delays in development;F88;general equivalence mapping(medicare)
62212;Moderate dysplasia of cervix;N871;general equivalence mapping(medicare)
2331;Carcinoma in situ of cervix uteri;D069;general equivalence mapping(medicare)
59984;Other specified disorders of urethra;N368;general equivalence mapping(medicare)
7352;Hallux rigidus;M2020;general equivalence mapping(medicare)
V6403;Vaccination not carried out because of immune compromised state;Z2803;general equivalence mapping(medicare)
17332;Squamous cell carcinoma of skin of other and unspecified parts of face;C44320;general equivalence mapping(medicare)
17332;Squamous cell carcinoma of skin of other and unspecified parts of face;C44321;general equivalence mapping(medicare)
17332;Squamous cell carcinoma of skin of other and unspecified parts of face;C44329;general equivalence mapping(medicare)
1723;Malignant melanoma of skin of other and unspecified parts of face;C4330;general equivalence mapping(medicare)
1723;Malignant melanoma of skin of other and unspecified parts of face;C4331;general equivalence mapping(medicare)
1723;Malignant melanoma of skin of other and unspecified parts of face;C4339;general equivalence mapping(medicare)
1723;Malignant melanoma of skin of other and unspecified parts of face;D0330;general equivalence mapping(medicare)
1723;Malignant melanoma of skin of other and unspecified parts of face;D0339;general equivalence mapping(medicare)
542;Other appendicitis;K36;general equivalence mapping(medicare)
65501;Central nervous system malformation in fetus, delivered, with or without mention of antepartum condition;O350XX0;general equivalence mapping(medicare)
9925;Heat exhaustion, unspecified;T675XXA;general equivalence mapping(medicare)
E9000;Accident caused by excessive heat due to weather conditions;X30XXXA;general equivalence mapping(medicare)
86413;Injury to liver with open wound into cavity, laceration, moderate;S31609A;general equivalence mapping(medicare)
86413;Injury to liver with open wound into cavity, laceration, moderate;S36115A;general equivalence mapping(medicare)
87402;Open wound of trachea, without mention of complication;S11029A;general equivalence mapping(medicare)
8621;Injury to diaphragm, with open wound into cavity;S21309A;general equivalence mapping(medicare)
8621;Injury to diaphragm, with open wound into cavity;S27809A;general equivalence mapping(medicare)
8798;Open wound(s) (multiple) of unspecified site(s), without mention of complication;S31000A;general equivalence mapping(medicare)
20502;Acute myeloid leukemia, in relapse;C9202;general equivalence mapping(medicare)
20502;Acute myeloid leukemia, in relapse;C9242;general equivalence mapping(medicare)
20502;Acute myeloid leukemia, in relapse;C9252;general equivalence mapping(medicare)
28809;Other neutropenia;D708;general equivalence mapping(medicare)
E9466;Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9466;Anti-infectives and other drugs and preparations for ear, nose, and throat causing adverse effects in therapeutic use;T51.96XA;manual matching
2842;Myelophthisis;D6182;general equivalence mapping(medicare)
9047;Injury to other specified blood vessels of lower extremity;S75809A;general equivalence mapping(medicare)
9047;Injury to other specified blood vessels of lower extremity;S85809A;general equivalence mapping(medicare)
9047;Injury to other specified blood vessels of lower extremity;S95809A;general equivalence mapping(medicare)
E8880;Fall resulting in striking against sharp object;W01110A;general equivalence mapping(medicare)
E8381;Other and unspecified water transport accident injuring occupant of small boat, powered;V9422XA;general equivalence mapping(medicare)
E8381;Hungry bone syndrome;V9422XA;general equivalence mapping(medicare)
E9433;Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9433;Other cathartics, including intestinal atonia drugs, causing adverse effects in therapeutic use;T51.94XA;manual matching
37239;Other conjunctivitis;H1089;general equivalence mapping(medicare)
36552;Pseudoexfoliation glaucoma;H401490;general equivalence mapping(medicare)
E0073;Activities involving baseball;Y9364;general equivalence mapping(medicare)
8911;Open wound of knee, leg [except thigh], and ankle, complicated;S81029A;general equivalence mapping(medicare)
8911;Open wound of knee, leg [except thigh], and ankle, complicated;S81829A;general equivalence mapping(medicare)
8911;Open wound of knee, leg [except thigh], and ankle, complicated;S91029A;general equivalence mapping(medicare)
28243;Alpha thalassemia;D560;general equivalence mapping(medicare)
7923;Nonspecific abnormal findings in amniotic fluid;O289;general equivalence mapping(medicare)
66383;Other umbilical cord complications complicating labor and delivery, antepartum condition or complication;O6989X0;general equivalence mapping(medicare)
V1002;Personal history of malignant neoplasm of other and unspecified oral cavity and pharynx;Z85818;general equivalence mapping(medicare)
V1002;Personal history of malignant neoplasm of other and unspecified oral cavity and pharynx;Z85819;general equivalence mapping(medicare)
1471;Malignant neoplasm of posterior wall of nasopharynx;C111;general equivalence mapping(medicare)
3689;Unspecified visual disturbance;H539;general equivalence mapping(medicare)
56401;Slow transit constipation;K5901;general equivalence mapping(medicare)
7515;Other anomalies of intestine;Q434;general equivalence mapping(medicare)
7515;Other anomalies of intestine;Q435;general equivalence mapping(medicare)
7515;Other anomalies of intestine;Q437;general equivalence mapping(medicare)
7515;Other anomalies of intestine;Q438;general equivalence mapping(medicare)
5819;Nephrotic syndrome with unspecified pathological lesion in kidney;N049;general equivalence mapping(medicare)
7310;Osteitis deformans without mention of bone tumor;M889;general equivalence mapping(medicare)
31089;Other specified nonpsychotic mental disorders following organic brain damage;F0789;general equivalence mapping(medicare)
3418;Other demyelinating diseases of central nervous system;G371;general equivalence mapping(medicare)
3418;Other demyelinating diseases of central nervous system;G372;general equivalence mapping(medicare)
3418;Other demyelinating diseases of central nervous system;G378;general equivalence mapping(medicare)
81501;Closed fracture of base of thumb [first] metacarpal;S62233A;general equivalence mapping(medicare)
81501;Closed fracture of base of thumb [first] metacarpal;S62236A;general equivalence mapping(medicare)
53100;Acute gastric ulcer with hemorrhage, without mention of obstruction;K250;general equivalence mapping(medicare)
81333;Open fracture of shaft of radius with ulna;S52209B;general equivalence mapping(medicare)
81333;Open fracture of shaft of radius with ulna;S52209C;general equivalence mapping(medicare)
81333;Open fracture of shaft of radius with ulna;S52309B;general equivalence mapping(medicare)
81333;Open fracture of shaft of radius with ulna;S52309C;general equivalence mapping(medicare)
E9654;Assault by other and unspecified firearm;X959XXA;general equivalence mapping(medicare)
82123;Closed supracondylar fracture of femur;S72453A;general equivalence mapping(medicare)
82123;Closed supracondylar fracture of femur;S72456A;general equivalence mapping(medicare)
20921;Malignant carcinoid tumor of the bronchus and lung;C7A090;general equivalence mapping(medicare)
V421;Heart replaced by transplant;Z941;general equivalence mapping(medicare)
V421;Car passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident;Z941;general equivalence mapping(medicare)
7533;Other specified anomalies of kidney;Q630;general equivalence mapping(medicare)
7533;Other specified anomalies of kidney;Q631;general equivalence mapping(medicare)
7533;Other specified anomalies of kidney;Q632;general equivalence mapping(medicare)
7533;Other specified anomalies of kidney;Q633;general equivalence mapping(medicare)
7533;Other specified anomalies of kidney;Q638;general equivalence mapping(medicare)
7539;Unspecified anomaly of urinary system;Q649;general equivalence mapping(medicare)
42653;Other bilateral bundle branch block;I452;general equivalence mapping(medicare)
81304;Other and unspecified closed fractures of proximal end of ulna (alone);S52009A;general equivalence mapping(medicare)
81304;Other and unspecified closed fractures of proximal end of ulna (alone);S52099A;general equivalence mapping(medicare)
83209;Closed dislocation of elbow, other;S53096A;general equivalence mapping(medicare)
83209;Closed dislocation of elbow, other;S53196A;general equivalence mapping(medicare)
4417;Thoracoabdominal aneurysm, without mention of rupture;I716;general equivalence mapping(medicare)
V741;Screening examination for pulmonary tuberculosis;Z111;general equivalence mapping(medicare)
V741;Passenger on bus injured in collision with heavy transport vehicle or bus in nontraffic accident;Z111;general equivalence mapping(medicare)
87373;Open wound of tooth (broken) (fractured) (due to trauma), complicated;S025XXA;general equivalence mapping(medicare)
87373;Open wound of tooth (broken) (fractured) (due to trauma), complicated;S025XXB;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32301D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32302D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32309D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32311D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32312D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32313D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32314D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32315D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32316D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32391D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32392D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32399D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32401D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32402D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32409D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32411D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32412D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32413D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32414D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32415D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32416D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32421D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32422D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32423D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32424D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32425D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32426D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32431D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32432D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32433D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32434D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32435D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32436D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32441D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32442D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32443D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32444D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32445D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32446D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32451D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32452D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32453D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32454D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32455D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32456D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32461D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32462D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32463D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32464D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32465D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32466D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32471D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32472D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32473D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32474D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32475D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32476D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32481D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32482D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32483D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32484D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32485D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32486D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32491D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32492D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32499D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32501D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32502D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32509D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32511D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32512D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32519D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32591D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32592D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32599D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32601D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32602D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32609D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32611D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32612D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32613D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32614D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32615D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32616D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32691D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32692D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S32699D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72001D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72002D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72009D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72011D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72012D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72019D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72019E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72021D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72022D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72023D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72023E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72024D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72025D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72026D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72026E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72031D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72032D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72033D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72033E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72034D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72035D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72036D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72036E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72041D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72042D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72043D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72043E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72044D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72045D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72046D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72046E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72051D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72052D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72059D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72061D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72062D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72063D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72064D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72065D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72066D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72091D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72092D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72099D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72099E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72101D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72102D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72109D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72109E;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72111D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72112D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72113D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72114D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72115D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72116D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72121D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72122D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72123D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72124D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72125D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72126D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72131D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72132D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72133D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72134D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72135D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72136D;general equivalence mapping(medicare)
V5413;Aftercare for healing traumatic fracture of hip;S72141D;general equivalence mapping(medicare)
